pathology,biomarker,sensitivity,sens_ci_lower,sens_ci_upper,sens_source,sens_reference_quality,sens_setting,specificity,spec_ci_lower,spec_ci_upper,spec_source,spec_reference_quality
ACS,hs-cTnI,0.95,0.93,0.97,Lipinski 2015 [4]; pooled hs-cTn for AMI,bib_verified,ED,0.54,0.47,0.61,Lipinski 2015; hs-cTn pooled,unverified_citation
ACS,D-dimer,0.38,0.28,0.49,Expert estimate; non-specific D-dimer elevation in ACS,expert_estimate,ED,0.45,0.38,0.52,Non-specific; elevated in many conditions,unverified_citation
ACS,NT-proBNP,0.6,0.52,0.68,Expert estimate; NT-proBNP elevated in ACS with LV dysfunction,expert_estimate,ED,0.6,0.52,0.68,Cross-reactivity with HF/PE,unverified_citation
ACS,CRP,0.5,0.4,0.6,Expert estimate; non-specific inflammatory marker in ACS,expert_estimate,ED,0.4,0.32,0.48,Non-specific inflammatory marker,unverified_citation
ACS,Copeptin,0.85,0.79,0.9,Keller 2011 [6]; Raskovalova 2013 [8]; pooled for AMI,bib_verified,ED,0.75,0.7,0.8,Keller 2011; Raskovalova 2013,unverified_citation
ACS,H-FABP,0.84,0.78,0.89,"Bruins Slot 2010, Heart 96(24):1957; pooled for AMI <6h",unverified_citation,ED,0.78,0.72,0.84,Body 2015; pooled,unverified_citation
ACS,Myoglobin,0.75,0.65,0.83,Lipinski 2015 [4]; pooled for AMI,bib_verified,ED,0.5,0.42,0.58,Low specificity; muscle damage,unverified_citation
ACS,Procalcitonin,0.15,0.08,0.24,Crawford 2019 [10]; minimal elevation in ACS,bib_verified,ED,0.85,0.78,0.92,"Low sensitivity, high specificity for ACS",unverified_citation
PE,hs-cTnI,0.45,0.35,0.56,"Becattini 2007, Circulation 116(4):427; troponin in PE",unverified_citation,ED,0.6,0.52,0.68,Moderately elevated in PE,unverified_citation
PE,D-dimer,0.95,0.93,0.97,Geersing 2012 [5]; pooled for PE,bib_verified,ED,0.42,0.38,0.46,Geersing 2012; low specificity,unverified_citation
PE,NT-proBNP,0.6,0.49,0.7,"Klok 2008, Am J Respir Crit Care Med 178(4):425; RV strain marker",unverified_citation,ED,0.55,0.48,0.62,Elevated in RV strain,unverified_citation
